iter	RMSE
0	78872.11517
1	76904.02942
2	75028.07715
3	73048.60739
4	71263.69917
5	69582.76192
6	68028.13773
7	66582.79311
8	64965.2075
9	63484.523
10	61967.74325
11	60570.3477
12	59249.6479
13	58028.62858
14	56812.33363
15	55559.482
16	54362.60105
17	53261.33053
18	52201.58581
19	51098.82826
20	50088.73304
21	49157.24191
22	48202.09664
23	47282.06361
24	46300.6566
25	45435.31663
26	44622.73192
27	43799.59308
28	43005.1147
29	42233.00344
30	41513.38198
31	40748.80261
32	40178.1876
33	39546.97693
34	38959.05628
35	38401.17193
36	37841.01871
37	37317.85121
38	36808.87132
39	36289.3515
40	35900.83074
41	35375.14123
42	34879.91999
43	34435.77819
44	33969.6316
45	33601.25174
46	33258.47049
47	32835.599
48	32450.26045
49	32127.13272
50	31830.2444
51	31441.22076
52	31174.74462
53	30878.5683
54	30528.75492
55	30229.80726
56	29866.87669
57	29581.17652
58	29332.01131
59	29078.70182
60	28849.05682
61	28639.56217
62	28362.18689
63	28128.4874
64	27915.49132
65	27710.05122
66	27482.72766
67	27293.0023
68	27086.25424
69	26902.10626
70	26729.89194
71	26550.943
72	26342.58114
73	26193.64368
74	26048.89776
75	25918.6053
76	25819.09389
77	25635.16338
78	25461.25467
79	25262.25639
80	25084.8312
81	24952.08244
82	24796.74459
83	24662.13491
84	24494.15681
85	24349.79228
86	24242.38458
87	24147.69064
88	24067.36225
89	23951.64556
90	23828.41102
91	23718.70323
92	23601.21529
93	23489.23376
94	23352.50947
95	23278.35429
96	23171.08106
97	23072.30488
98	22955.93565
99	22883.00449
100	22771.73192
101	22659.85422
102	22591.04933
103	22503.38017
104	22417.22706
105	22319.22749
106	22228.35911
107	22108.19214
108	22033.53859
109	21941.59621
110	21876.91503
111	21783.76205
112	21761.68351
113	21712.98774
114	21621.93299
115	21540.00091
116	21474.22638
117	21426.70051
118	21357.51051
119	21295.42186
120	21225.06981
121	21138.57225
122	21047.18129
123	20972.7658
124	20896.00161
125	20845.59847
126	20773.98868
127	20679.0015
128	20635.21655
129	20560.68913
130	20490.9246
131	20436.83041
132	20400.00663
133	20340.42503
134	20283.36536
135	20234.10773
136	20180.42251
137	20127.76461
138	20066.07211
139	20022.1685
140	19951.33417
141	19900.94258
142	19858.37719
143	19813.69217
144	19783.7202
145	19743.10199
146	19694.43564
147	19637.03083
148	19572.88887
149	19532.33283
150	19470.76108
151	19391.49165
152	19351.85146
153	19322.48259
154	19263.76758
155	19222.16346
156	19181.95986
157	19149.17882
158	19112.24611
159	19061.94754
160	19020.79819
161	18984.81123
162	18931.90794
163	18902.61831
164	18855.36695
165	18812.20413
166	18766.97839
167	18717.2406
168	18657.00126
169	18593.84686
170	18580.85643
171	18540.92138
172	18503.42375
173	18428.15219
174	18357.23927
175	18312.2005
176	18247.70245
177	18232.1944
178	18204.59633
179	18178.66122
180	18162.94001
181	18136.84433
182	18077.29257
183	18016.77648
184	17987.67528
185	17970.1739
186	17951.07533
187	17911.75241
188	17884.05119
189	17846.61873
190	17777.18116
191	17733.8838
192	17701.82976
