iter	Passed	Remaining
0	1	1350
1	2	1466
2	4	1471
3	5	1433
4	7	1588
5	10	1658
6	11	1666
7	14	1752
8	16	1822
9	18	1807
10	20	1808
11	22	1884
12	25	1898
13	28	1991
14	30	1985
15	32	1976
16	34	1967
17	35	1949
18	38	1993
19	40	1975
20	42	1985
21	45	2025
22	47	1998
23	48	1962
24	50	1957
25	53	2004
26	55	1984
27	57	1995
28	59	1998
29	61	1977
30	63	1981
31	65	1966
32	66	1948
33	68	1933
34	70	1934
35	71	1925
36	74	1929
37	76	1931
38	77	1921
39	80	1931
40	82	1920
41	83	1901
42	84	1886
43	86	1888
44	88	1881
45	90	1875
46	93	1897
47	95	1895
48	97	1895
49	100	1912
50	102	1915
51	104	1910
52	106	1909
53	108	1896
54	109	1879
55	111	1880
56	113	1871
57	115	1873
58	117	1866
59	118	1857
60	120	1849
61	122	1857
62	124	1853
63	129	1896
64	132	1906
65	134	1905
66	136	1906
67	138	1896
68	139	1887
69	141	1884
70	143	1882
71	145	1871
72	147	1874
73	149	1871
74	150	1860
75	152	1851
76	154	1849
77	155	1839
78	157	1834
79	158	1826
80	160	1821
81	162	1813
82	163	1805
83	165	1801
84	167	1800
85	168	1793
86	169	1783
87	171	1781
88	173	1772
89	174	1766
90	176	1763
91	178	1758
92	179	1752
93	181	1745
94	183	1750
95	185	1749
96	187	1741
97	188	1736
98	190	1732
99	192	1729
100	193	1725
101	196	1733
102	198	1729
103	200	1725
104	201	1718
105	203	1712
106	204	1703
107	206	1702
108	208	1702
109	209	1696
110	211	1690
111	212	1687
112	214	1684
113	216	1679
114	217	1675
115	220	1678
116	222	1677
117	223	1673
118	225	1671
119	227	1665
120	228	1661
121	231	1662
122	233	1663
123	235	1661
124	237	1665
125	239	1659
126	240	1653
127	242	1654
128	244	1652
129	247	1658
130	249	1657
131	251	1653
132	253	1650
133	255	1651
134	257	1648
135	259	1647
136	261	1647
137	263	1648
138	265	1643
139	267	1642
140	269	1640
141	271	1638
142	272	1633
143	275	1635
144	276	1630
145	278	1628
146	280	1628
147	282	1627
148	285	1628
149	286	1626
150	288	1622
151	290	1618
152	291	1616
153	294	1615
154	296	1617
155	299	1619
156	301	1616
157	302	1612
158	304	1609
159	305	1603
160	307	1600
161	308	1596
162	310	1592
163	311	1589
164	313	1588
165	316	1588
166	317	1584
