iter	RMSE
0	79799.85882
1	78579.04697
2	77375.39519
3	76381.85232
4	75234.98744
5	74166.82471
6	73067.32673
7	71999.61636
8	71030.08824
9	70056.4291
10	69089.56352
11	68078.49798
12	67143.3711
13	66247.0472
14	65382.61462
15	64551.01153
16	63674.28152
17	62796.61595
18	61874.57101
19	61033.65863
20	60212.84895
21	59373.28132
22	58661.59488
23	57863.63177
24	57177.07307
25	56352.47073
26	55706.62584
27	54941.40672
28	54311.53184
29	53653.68143
30	52998.51927
31	52376.34209
32	51741.80847
33	51197.11936
34	50593.8683
35	50054.0799
36	49428.83086
37	48911.53148
38	48363.0587
39	47791.31926
40	47259.92018
41	46741.65502
42	46187.90706
43	45749.0375
44	45232.38969
45	44776.02563
46	44259.15446
47	43728.20681
48	43289.45613
49	42812.27885
50	42390.79889
51	41938.60057
52	41504.83512
53	41119.55806
54	40715.30411
55	40327.02031
56	39958.02517
57	39553.05856
58	39189.47751
59	38845.56448
60	38464.04165
61	38113.02478
62	37784.54521
63	37415.54346
64	37091.94062
65	36760.6251
66	36459.24444
67	36164.6887
68	35833.33726
69	35535.94008
70	35246.72981
71	34939.7216
72	34624.86501
73	34350.24548
74	34071.79673
75	33784.74977
76	33499.70832
77	33265.026
78	32987.08959
79	32704.4932
80	32491.48626
81	32260.52888
82	32009.74544
83	31778.76922
84	31533.2232
85	31262.44989
86	31034.22075
87	30795.12801
88	30575.82363
89	30370.22156
90	30165.63594
91	29988.87575
92	29821.23772
93	29662.77452
94	29450.62399
95	29291.31976
96	29107.37406
97	28953.63306
98	28786.5329
99	28639.70349
100	28499.31742
101	28342.51996
102	28178.32884
103	28000.88312
104	27826.92105
105	27703.50918
106	27566.78536
107	27411.21309
108	27258.62526
109	27124.21064
110	26937.6633
111	26800.17803
112	26665.3425
113	26507.72198
114	26365.29996
115	26231.76939
116	26109.14284
117	25972.27014
118	25847.26028
119	25726.86665
120	25591.92355
121	25463.01224
122	25356.79461
123	25252.58536
124	25151.44481
125	25028.70494
126	24936.49059
127	24828.18529
128	24710.08078
129	24601.6389
130	24514.15562
131	24409.02162
132	24307.44597
133	24235.39763
134	24145.56546
135	24052.75101
136	23943.59174
137	23848.29181
138	23775.96761
139	23690.52379
140	23590.74255
141	23491.17911
142	23390.62208
143	23302.78142
144	23227.36018
145	23149.80708
146	23043.27585
147	22969.20498
148	22890.71049
149	22814.7686
150	22713.44665
151	22626.20101
152	22546.77191
153	22493.29124
154	22434.58305
155	22374.42323
156	22313.65154
157	22250.80205
158	22182.01264
159	22093.90003
160	22007.03718
161	21961.58416
162	21890.08622
163	21816.27748
164	21764.42058
165	21699.59463
166	21627.55555
167	21573.07716
168	21498.38531
169	21420.60949
170	21347.66158
171	21286.68597
172	21207.43909
173	21157.57497
174	21091.83448
175	21006.84595
176	20965.16925
177	20922.05078
178	20843.70677
179	20787.82326
180	20735.95799
181	20697.41785
182	20639.28293
183	20582.19773
184	20499.15703
185	20465.83334
186	20421.75334
187	20375.83583
188	20321.63702
189	20267.69781
190	20217.64891
191	20176.18841
192	20116.86074
193	20088.83401
194	20038.40058
195	19989.52985
196	19940.1652
197	19883.18218
198	19841.68666
199	19797.66581
200	19744.47698
201	19686.63506
202	19641.78437
203	19583.6639
204	19531.56056
205	19487.28637
206	19447.6131
207	19405.65415
208	19367.80173
209	19330.7489
210	19308.66562
211	19269.66702
212	19221.43257
213	19198.91698
214	19142.71694
215	19109.08726
216	19056.16127
217	19014.60992
218	18977.02402
219	18927.50989
220	18892.73811
221	18859.08141
222	18809.86824
223	18770.5586
224	18732.41111
225	18691.98372
226	18675.34389
227	18624.26359
228	18577.57286
229	18552.57793
230	18512.55692
231	18476.49052
232	18436.2509
233	18388.8836
234	18356.41121
235	18336.02582
236	18310.4371
237	18281.58891
238	18240.92185
239	18226.03375
240	18212.35717
241	18169.59452
242	18131.75418
243	18080.24344
244	18036.61049
245	17999.46887
246	17969.25183
247	17939.74264
248	17909.18508
249	17872.2134
250	17844.91143
251	17803.59469
252	17760.80079
253	17722.79286
254	17672.87633
255	17635.84111
256	17608.35693
257	17581.75134
258	17561.70668
259	17531.76049
260	17506.87583
261	17483.60322
262	17448.60389
263	17424.51724
264	17398.89624
265	17381.20721
266	17350.13131
267	17324.12058
268	17282.45489
269	17239.12367
270	17202.90537
271	17172.0705
272	17156.17356
273	17131.33718
274	17106.83704
275	17074.78281
276	17033.87057
277	17005.61889
278	16985.44266
279	16952.05147
280	16922.71769
281	16883.32906
282	16865.73463
283	16827.11852
284	16797.74997
285	16770.76762
286	16748.62071
287	16721.74677
288	16702.15272
289	16666.56449
290	16640.2713
291	16615.19476
292	16587.60363
293	16557.97673
294	16545.35098
295	16513.97648
296	16495.98279
297	16482.02356
298	16460.12475
299	16442.96057
300	16416.87134
301	16387.20489
302	16337.67633
303	16304.61001
304	16284.84327
305	16247.71468
306	16225.41257
307	16202.16307
308	16175.68889
309	16157.07469
310	16134.32772
311	16110.51736
312	16077.10121
313	16050.00355
314	16016.46711
315	15997.51629
316	15983.5148
317	15956.32969
318	15915.14983
319	15881.07128
320	15841.11902
321	15823.6257
322	15795.09188
323	15768.06529
324	15752.31135
325	15722.10937
326	15704.37422
327	15687.03721
328	15670.66237
329	15650.05832
330	15627.29946
331	15601.98532
332	15585.14589
333	15557.22255
334	15538.09609
335	15499.95817
336	15464.02908
337	15439.88772
338	15412.15888
339	15391.96131
340	15375.23737
341	15352.64791
342	15319.86663
343	15303.11898
344	15284.66314
345	15269.49419
346	15245.37533
347	15229.00515
348	15199.08078
349	15174.86029
350	15163.75076
351	15118.00273
352	15104.98869
353	15083.93864
354	15061.05121
355	15055.14287
356	15024.03524
357	14996.88872
358	14986.98061
359	14957.19416
360	14920.0189
361	14898.48696
362	14872.39925
363	14861.20283
364	14831.46858
365	14808.45078
366	14784.59507
367	14765.87679
368	14758.6812
369	14729.05293
370	14706.53707
371	14692.71759
372	14666.52587
373	14641.56593
374	14614.04663
375	14599.05763
376	14559.57954
377	14541.08765
378	14514.74632
379	14494.38964
380	14466.32856
381	14457.0131
382	14433.2959
383	14421.02752
384	14388.9039
385	14368.06385
386	14344.33777
387	14313.44342
388	14289.00083
389	14262.59605
390	14229.90009
391	14207.07338
392	14196.4087
393	14177.37409
394	14155.81532
395	14136.90498
396	14110.94562
397	14088.53148
398	14070.27918
399	14048.1772
400	14026.48104
401	14008.89977
402	13982.22384
403	13962.57515
404	13929.45179
405	13921.00726
406	13903.55271
407	13882.61121
408	13861.05319
409	13839.68804
410	13815.04526
411	13810.01612
412	13787.97354
413	13765.69151
414	13746.58247
415	13733.73913
416	13729.31207
417	13698.96343
418	13679.587
419	13670.67958
420	13641.31767
421	13637.26596
422	13613.05389
423	13609.07558
424	13584.52204
425	13570.40583
426	13551.7984
427	13548.03773
428	13534.52092
429	13521.16959
430	13518.34369
431	13495.95005
432	13492.98377
433	13478.28069
434	13450.38671
435	13429.98419
436	13403.91258
437	13378.24919
438	13369.72592
439	13343.75003
440	13319.18939
441	13308.67918
442	13291.87898
443	13263.44116
444	13259.92189
445	13234.35607
446	13219.39098
447	13191.7302
448	13171.00865
449	13156.32211
450	13130.03982
451	13117.19494
452	13113.72128
453	13105.79931
454	13087.6734
455	13080.35451
456	13064.14051
457	13047.55658
458	13028.81219
459	13006.55903
460	12987.19794
461	12966.23035
462	12948.96642
463	12932.36071
464	12905.58646
465	12886.35054
466	12866.94885
467	12846.00497
468	12826.93962
469	12798.36989
470	12772.27741
471	12753.58207
472	12745.35638
473	12736.23617
474	12724.80203
475	12702.23763
476	12687.55581
477	12676.52371
478	12656.99531
479	12641.53467
480	12638.91485
481	12620.99573
482	12597.76127
483	12595.28452
484	12570.03323
485	12552.08319
486	12545.36415
487	12537.87313
488	12514.77081
489	12494.71403
490	12478.26473
491	12454.58119
492	12441.13332
493	12438.189
494	12435.59506
495	12419.24706
496	12402.23208
497	12379.25848
498	12360.03896
499	12357.63318
500	12331.48374
501	12312.32182
502	12305.21267
503	12300.4298
504	12297.71452
505	12278.75984
506	12248.10499
507	12222.41898
508	12195.20031
509	12182.2517
510	12162.58719
511	12143.02996
512	12130.26843
513	12118.21886
514	12099.8782
515	12098.0787
516	12075.65907
517	12051.97719
518	12036.03745
519	12015.60033
520	11994.37487
521	11984.53629
522	11963.60595
523	11943.86043
524	11924.70251
525	11922.31748
526	11900.83356
527	11889.39698
528	11862.71639
529	11848.56004
530	11832.36463
531	11812.76454
532	11796.6727
533	11784.24613
534	11777.6975
535	11759.04599
536	11739.39997
537	11720.45261
538	11705.55736
539	11688.3105
540	11667.0715
541	11651.29868
542	11636.32424
543	11621.07877
544	11603.7806
545	11582.50299
546	11560.24833
547	11545.81851
548	11538.74589
549	11531.45881
550	11510.87043
551	11496.14423
552	11491.95948
553	11475.77461
554	11471.89542
555	11446.68942
556	11426.13919
557	11408.29997
558	11389.01689
559	11364.971
560	11350.01525
561	11331.88804
562	11312.69627
563	11298.50802
564	11285.71169
565	11276.35909
566	11265.40553
567	11250.29341
568	11233.96963
569	11212.10419
570	11199.04462
571	11181.97355
572	11168.12365
573	11161.42971
574	11142.08882
575	11131.43385
576	11118.28577
577	11103.94696
578	11087.1458
579	11069.1048
580	11059.12589
581	11046.50639
582	11032.83239
583	11015.72062
584	11000.97585
585	10982.41942
586	10963.27437
587	10945.92063
588	10932.45112
589	10919.32081
590	10906.21906
591	10886.6147
592	10872.75906
593	10855.66782
594	10839.53754
595	10823.33038
596	10799.21016
597	10792.00006
598	10781.19125
599	10767.85458
600	10748.00222
601	10734.39428
602	10725.2619
603	10702.42997
604	10700.57317
605	10687.7176
606	10674.72715
607	10656.70681
608	10646.12111
609	10633.83069
610	10612.71261
611	10601.43476
612	10578.50113
613	10566.39458
614	10551.74115
615	10530.57145
616	10517.00442
617	10502.45336
618	10487.86318
619	10474.33373
620	10455.95784
621	10442.78987
622	10431.73094
623	10418.42713
624	10407.30806
625	10393.08353
626	10377.53865
627	10360.5882
628	10348.0781
629	10334.40334
630	10323.29962
631	10315.09829
632	10301.42447
633	10286.58173
634	10281.80409
635	10277.10321
636	10275.23976
637	10258.71056
638	10244.1654
639	10239.52075
640	10228.49077
641	10212.36191
642	10199.57985
643	10185.01155
644	10174.95
645	10166.25199
646	10151.51539
647	10133.21622
648	10131.60829
649	10117.02322
650	10115.53146
651	10103.38761
652	10089.60106
653	10075.47292
654	10062.10497
655	10050.00979
656	10034.73692
657	10023.17639
658	10018.74588
659	10000.64957
660	9998.975652
661	9989.84673
662	9975.213035
663	9957.122659
664	9948.910081
665	9937.383471
666	9926.201225
667	9902.22431
668	9892.841619
669	9878.410346
670	9864.51791
671	9847.659991
672	9835.889421
673	9826.914487
674	9811.102449
675	9796.666104
676	9786.362258
677	9772.64535
678	9757.992754
679	9756.443392
680	9755.056052
681	9753.639982
682	9752.504515
683	9751.246866
684	9736.626078
685	9722.414025
686	9709.673442
687	9708.387303
688	9700.495534
689	9690.179234
690	9688.737853
691	9673.175695
692	9662.948972
693	9652.045219
694	9649.562128
695	9628.223664
696	9613.057442
697	9605.767429
698	9595.997549
699	9594.616229
700	9581.678494
701	9580.460897
702	9579.246624
703	9566.192459
704	9552.972667
705	9542.915578
706	9529.489036
707	9515.140577
708	9503.588993
709	9491.013494
710	9489.875415
711	9477.454754
712	9469.011648
713	9467.965106
714	9466.946071
715	9466.143387
716	9454.103122
717	9446.436727
718	9433.486846
719	9432.237876
720	9431.40344
721	9414.102936
722	9398.724167
723	9381.117593
724	9363.628196
725	9351.457085
726	9337.576322
727	9327.378818
728	9320.204109
729	9304.246487
730	9294.160495
731	9280.095247
732	9278.771256
733	9268.865106
734	9256.237558
735	9239.658171
736	9227.005245
737	9226.145701
738	9215.498722
739	9203.57691
740	9190.655464
741	9179.686102
742	9166.386228
743	9154.807524
744	9144.010224
745	9130.218102
746	9120.687551
747	9108.028716
748	9097.160778
749	9090.538342
750	9079.340991
751	9068.560803
752	9055.86106
753	9041.108356
754	9031.549335
755	9015.834731
756	9005.140351
757	9004.23678
758	8987.60152
759	8975.2806
760	8967.194728
761	8953.729268
762	8939.069006
763	8938.124945
764	8937.318168
765	8929.191712
766	8921.024534
767	8909.535058
768	8900.824287
769	8886.670299
770	8878.819059
771	8864.536543
772	8856.072933
773	8842.602648
774	8827.307982
775	8816.971325
776	8803.800265
777	8791.095843
778	8776.345884
779	8763.188328
780	8753.08428
781	8745.23674
782	8734.025415
783	8724.412705
784	8717.719604
785	8702.715514
786	8692.353094
787	8682.055515
788	8679.075224
789	8664.84292
790	8650.389668
791	8640.191214
792	8627.940177
793	8615.912779
794	8606.180573
795	8605.362471
796	8598.031075
797	8597.357386
798	8585.74961
799	8573.350451
800	8572.304586
801	8565.381336
802	8553.601751
803	8546.0823
804	8539.932207
805	8538.983438
806	8529.291742
807	8521.998684
808	8513.421786
809	8502.098508
810	8491.957607
811	8480.726139
812	8469.52716
813	8461.390579
814	8452.083153
815	8443.07908
816	8442.106962
817	8436.364495
818	8434.976823
819	8427.426296
820	8416.811937
821	8407.3796
822	8397.895839
823	8391.324685
824	8379.342818
825	8369.53861
826	8358.366407
827	8347.324995
828	8340.698337
829	8333.498188
830	8327.099664
831	8315.776825
832	8308.692249
833	8301.933491
834	8294.873165
835	8287.60477
836	8278.839585
837	8265.05768
838	8257.992825
839	8245.199629
840	8234.399096
841	8227.014555
842	8214.61749
843	8204.717091
844	8199.419219
845	8196.140727
846	8182.37478
847	8168.303652
848	8162.207865
849	8147.970695
850	8139.795943
851	8133.452351
852	8125.295856
853	8113.925012
854	8100.89315
855	8092.41601
856	8081.167412
857	8068.156812
858	8060.77858
859	8060.020872
860	8059.208904
861	8058.483661
862	8045.99169
863	8036.212209
864	8029.872435
865	8020.559481
866	8017.233158
867	8005.328573
868	8000.227431
