iter	Passed	Remaining
0	1	2870
1	3	2632
2	5	2596
3	6	2616
4	8	2606
5	10	2599
6	12	2599
7	13	2579
8	15	2608
9	17	2622
10	20	2733
11	21	2717
12	23	2740
13	26	2794
14	29	2885
15	31	2893
16	33	2955
17	36	2990
18	37	2954
19	39	2932
20	41	2904
21	42	2886
22	44	2859
23	46	2868
24	48	2859
25	50	2868
26	52	2856
27	54	2840
28	55	2827
29	57	2814
30	59	2823
31	61	2809
32	62	2799
33	64	2790
34	66	2786
35	68	2784
36	70	2783
37	72	2782
38	73	2771
39	75	2763
40	77	2753
41	78	2741
42	80	2735
43	83	2752
44	84	2743
45	87	2772
46	89	2768
47	91	2765
48	93	2756
49	94	2754
50	96	2747
51	98	2745
52	100	2738
53	101	2729
54	103	2720
55	105	2712
56	106	2704
57	108	2696
58	110	2690
59	111	2683
60	113	2679
61	116	2690
62	118	2709
63	124	2784
64	128	2846
65	130	2843
66	132	2836
67	134	2828
68	135	2820
69	137	2814
70	139	2807
71	141	2801
72	143	2800
73	145	2798
74	147	2796
75	149	2792
76	150	2784
77	152	2778
78	154	2777
79	156	2776
80	158	2770
81	159	2762
82	161	2756
83	163	2754
84	165	2752
85	167	2756
86	169	2755
87	171	2752
88	173	2747
89	175	2743
90	177	2745
91	179	2744
92	181	2740
93	183	2737
94	184	2735
95	186	2729
96	188	2731
97	190	2728
98	192	2723
99	194	2719
100	196	2715
101	197	2710
102	199	2705
103	201	2702
104	203	2697
105	204	2692
106	206	2689
107	208	2684
108	209	2678
109	211	2673
110	213	2673
111	215	2670
112	217	2666
113	219	2663
114	220	2659
115	222	2654
116	224	2651
117	226	2646
118	227	2642
119	229	2638
120	231	2636
121	233	2635
122	235	2631
123	236	2627
124	238	2624
125	240	2619
126	241	2615
127	243	2611
128	245	2606
129	246	2602
130	249	2603
131	250	2600
132	252	2596
133	254	2591
134	255	2587
135	257	2581
136	259	2576
137	260	2575
138	262	2572
139	265	2577
140	267	2573
141	268	2569
142	270	2566
143	272	2564
144	274	2562
145	276	2562
146	278	2559
147	280	2563
148	282	2561
149	284	2560
150	286	2558
151	288	2555
152	291	2563
153	293	2563
154	295	2561
155	297	2565
156	299	2565
157	302	2565
158	304	2566
159	306	2564
160	308	2564
161	310	2566
162	312	2563
163	314	2560
164	316	2557
165	317	2552
166	319	2549
167	321	2546
168	322	2542
169	324	2538
170	326	2535
171	327	2531
172	329	2527
173	331	2524
174	333	2521
175	334	2518
176	336	2514
177	338	2510
178	340	2512
179	342	2508
180	343	2504
181	345	2503
182	347	2500
183	349	2497
184	350	2493
185	352	2490
186	354	2487
187	355	2483
188	357	2481
189	359	2478
190	361	2474
191	362	2472
192	364	2468
193	366	2465
194	367	2461
195	369	2457
196	371	2454
197	372	2450
198	374	2448
199	376	2445
200	377	2441
201	379	2439
202	383	2447
203	385	2446
204	386	2444
205	388	2441
206	390	2438
207	392	2436
208	394	2435
209	396	2432
210	397	2430
211	399	2426
212	401	2423
213	402	2420
214	405	2422
215	407	2420
216	409	2418
217	410	2414
218	412	2412
219	414	2409
220	415	2406
221	417	2403
222	419	2400
223	420	2397
224	422	2394
225	424	2392
226	425	2388
227	427	2385
228	429	2382
229	430	2379
230	432	2376
231	434	2374
232	436	2370
233	437	2367
234	440	2368
235	441	2366
236	443	2363
237	445	2363
238	447	2361
239	449	2360
240	452	2362
241	453	2359
242	455	2355
243	457	2353
244	458	2349
245	460	2347
246	462	2344
247	463	2342
248	465	2340
249	467	2337
250	469	2334
251	470	2331
252	472	2330
253	474	2328
254	476	2326
255	478	2324
256	479	2321
257	481	2319
258	483	2317
259	485	2315
260	487	2312
261	488	2310
262	490	2308
263	492	2305
264	494	2303
265	496	2301
266	497	2299
267	499	2296
268	502	2297
269	504	2296
270	505	2293
271	507	2292
272	509	2289
273	511	2287
274	513	2286
275	514	2283
276	516	2281
277	518	2279
278	520	2276
279	521	2273
280	523	2270
281	525	2269
282	527	2268
283	529	2269
284	531	2267
285	533	2265
286	535	2262
287	537	2260
288	538	2258
289	540	2256
290	542	2253
291	543	2250
292	545	2247
293	547	2243
294	549	2243
295	551	2241
296	552	2239
297	554	2236
298	556	2233
299	557	2230
300	559	2227
301	561	2226
302	562	2223
303	564	2221
304	566	2219
305	567	2216
306	569	2213
307	571	2210
308	573	2209
309	574	2207
310	576	2205
311	578	2204
312	580	2202
313	582	2201
314	585	2200
315	587	2200
316	589	2198
317	590	2196
318	592	2193
319	595	2194
320	596	2192
321	598	2190
322	600	2187
323	602	2185
324	603	2182
325	605	2179
326	606	2177
327	608	2174
328	610	2172
329	611	2169
330	613	2166
331	615	2164
332	616	2161
333	618	2158
334	619	2156
335	621	2153
336	623	2151
337	625	2149
338	627	2148
339	628	2145
340	630	2142
341	631	2139
342	633	2137
343	635	2135
344	637	2133
345	639	2131
346	640	2129
347	642	2126
348	644	2124
349	646	2122
350	647	2119
351	649	2117
352	650	2114
353	652	2111
354	653	2109
355	655	2107
356	658	2109
357	660	2106
358	661	2103
359	663	2101
360	665	2098
361	666	2095
362	668	2093
363	670	2091
364	671	2089
365	673	2087
366	675	2084
367	676	2082
368	678	2079
369	680	2077
370	681	2074
371	683	2072
372	684	2069
373	686	2067
374	688	2065
375	690	2062
376	691	2060
377	693	2058
378	695	2056
379	696	2054
380	698	2051
381	700	2050
382	702	2047
383	703	2045
384	705	2043
385	707	2040
